"","Index","Date","X","Y","Method","SVL_mm","Mass","STAGE","Burrow_Depth"
"129",62,"28-Jun-16",NA,NA,"Transect","40.9","6","SNBA",53
"186",317,"1-Sep-16",NA,NA,"Transect","39.5","7.2","SNBA",56.4
"219",447,"8-Jun-16",NA,NA,"Transect","45.9","8.9","SNBA",47
"321",382,"28-Apr-16",NA,NA,"Transect","34.6","6","SNBA",45.7
"421",1247,"16-Jun-17",NA,NA,"Transect","38.7","6.6","SNBA",98
"537",552,"12-Jul-16",NA,NA,"Transect","45.1","9.9","SNBA",70
"579",108,"10-Jul-16",NA,NA,"Transect","39.6","6.8","SNBA",54
"615",43,"20-Jun-16",NA,NA,"Transect","41","4.8","SNBA",63
"617",150,"23-Jul-16",NA,NA,"Transect","38.6","5.5","SNBA",40
"649",487,"19-Jun-16",NA,NA,"Transect","39.7","8.3","SNBA",39
"657",525,"27-Jun-16",NA,NA,"Transect","44.2","9.9","SNBA",45.7
"701",848,"22-Jun-16",NA,NA,"Transect","37.3","Peed","SNBA",96
"709",838,"22-Jun-16",NA,NA,"Transect","37.1","6.2","SNBA",43.1
"769",1297,"16-Jun-17",NA,NA,"Transect","38","5","SNBA",67
"773",606,"12-Jun-17",NA,NA,"Transect","40.8","Peed","SNBA",46
"793",603,"12-Jun-17",NA,NA,"Transect","45.3","10.1","SNBA",77.6
"803",1280,"16-Jun-17",NA,NA,"Transect","36","Pee","SNBA",61
"835",654,"17-Jun-17",NA,NA,"Transect","53","12.4","F",106
"840",527,"27-Jun-16",NA,NA,"Transect","46.4","10.8","F",43
"848",1237,"16-Jun-17",NA,NA,"Transect","49.5","19.1","F",93
"852",1256,"16-Jun-17",NA,NA,"Transect","45.5","Pee","F",51.2
"857",784,"3-Jul-17",NA,NA,"Transect","56.5","Pee","F",62
"860",1224,"1-Jul-17",4118903,"367265","Transect","46.3","Pee","F",117
"862",760,"13-Jul-16",NA,NA,"Transect","57.7","20.1","F",53
"868",1070,"18-Jun-16",NA,NA,"Transect","57.5","","F",69
"882",1233,"16-Jun-17",NA,NA,"Transect","43.3","12.4","F",42.9
"900",609,"12-Jun-17",NA,NA,"Transect","48.2","16.6","F",64.1
"911",599,"12-Jun-17",NA,NA,"Transect","43.9","11.1","F",58.4
"913",595,"12-Jun-17",NA,NA,"Transect","50.5","17.3","F",74.8
"933",973,"10-May-16",NA,NA,"Transect","54.2","21.5","F",85.1
"949",371,"2-Jul-17",NA,NA,"Transect","44.8","19.25","F",60
"951",1229,"1-Jul-17",4118903,"367265","Transect","55.9","21.5","F",159
"961",338,"13-Jun-17",NA,NA,"Transect","49.8","Peed","F",25.2
"985",596,"12-Jun-17",NA,NA,"Transect","40.4","12.7","F",90.1
"986",1274,"16-Jun-17",NA,NA,"Transect","60","24.8","F",51
