Index,Date,Date_num,Start_time,End_time,Observers,Scribe,Xcoord,Ycoord,Ground_Temp (C),Ambient_Temp (C),RH (%),Wind (km/h),Soil_pH,Soil_Hum (%),Rain,Plot_ID_Full,Plot_ID,Survey_Type,Survey_Number,Sheet_ID,No.,Recap,SVL(mm),GPS_Waypoint,Mass (g),Burrow(Y/N),Burrow_Depth,Microhabitat,Pads,Color,Eggs,STAGE,Unique_ID,Final_PITtag_Toeclip,Toeclip,Old_wrong,Body Condition,Ycoord,Xcoord,Comments,Outside Plot,Captured_only_once,Matured_during_study,Underground,QC
224,6-Jul-16,20160706,22:00,1:00,"KN, ADS","HM, JF",,,24.8,24.2,100,0,6.2,49,Light,B; FTown Loop,B,Plot,5,SS-06-JUL-2016-01,2,N,41,,,N,,L.L.,N,DY,Y,F,ID-982000406563033,9.82E+14,,,OK,4121487,363212,,N,N,N,N,
186,24-Jun-16,20160624,21:25,,"KN, JF",ADS,,,25.2,,92.3,,6,53,No,B; FTown Loop,B,Plot,4,SS-24-JUN-2016-01,1,N,43,,,N,,L.L.,N,GY,Y,F,ID-982000406563140,9.82E+14,,,OK,4121481,363215,,N,N,N,N,
457,27-Apr-16,20160427,22:10,22:54,"ADS, AO, SB",SB,,,,15.5,89.8,,5,40,No,E; FT1,E,Plot,1,SS-27-APR-2016-01,1,N,43.4,#018/8,11,N,,L.L,N,GY,Y,F,ID-982000406562878,9.82E+14,,,OK,4118392,365795,,N,N,N,N,
76,21-Jul-16,20160721,21:09,23:00,"ADS, JF, FW","HM, ADS",,,25.8,25.3,85.7,0,6.1,53,No,A; Etour,A,Plot,6,SS-21-JUL-2016-01,4,N,43.9,,,N,,L.L.,N,GY,Y,F,ID-982000406563248,9.82E+14,,,OK,4118979,367380,,N,Y,N,N,
431,21-Jul-16,20160721,23:19,1:05,"ADS, JF, FW","HM, ADS",,,23.9,22.6,93,0,6.2,50,No,C; Gooseley,C,Plot,6,SS-21-JUL-2016-02,5,R,45.5,,,N,,L.L.,N,GY,Y,F,ID-982000406563163,9.82E+14,,,OK,4120470,365718,,N,N,Y,N,
437,21-Jul-16,20160721,23:19,1:05,"ADS, JF, FW","HM, ADS",,,23.9,22.6,93,0,6.2,50,No,C; Gooseley,C,Plot,6,SS-21-JUL-2016-02,11,R,47.3,,,N,,L.L.,N,Y,Y,F,ID-982000406562556,9.82E+14,,,OK,4120503,365737,PERI,Y,N,N,N,
501,17-Jul-16,20160717,21:37,22:08,"ADS, JF, FW",HM,,,24.4,24.3,92.4,0,5.2,57,No,E;FT1,E,Plot,5,SS-17-JUL-2016-01,4,N,47.3,,,N,,L.L.,N,GY,Y,F,ID-982000406563091,9.82E+14,,,OK,4118383,368795,,N,N,N,N,
470,13-May-16,20160513,22:30,0:50,"ADS, MRL",?,,,18.9,16.5,95.3,0,5.1,80,No,E; FT1,E,Plot,2,SS-13-MAY-2016-01,10,N,48.1,#358/5,13.2,N,,L.L.,N,DY,Y,F,ID-982000406562607,9.82E+14,,,OK,4118393,365790,Peed,N,Y,N,N,
172,21-May-16,20160521,21:20,22:26,"ADS, MRL",HW,,,16.8,15.4,94.8,0,6.4,55,,B; FTown Loop,B,Plot,3,SS-21-MAY-2016-01,14,N,48.2,#308/8,,N,,L.L.,N,DY,Y,F,ID-982000406562560,9.82E+14,,,OK,4121498,363227,,N,Y,N,N,
240,6-Jul-16,20160706,22:00,1:00,"KN, ADS","HM, JF",,,24.8,24.2,100,0,6.2,49,Light,B; FTown Loop,B,Plot,5,SS-06-JUL-2016-01,18,N,48.3,,,N,,L.L.,N,DY,Y,F,ID-900118001080937,9.00E+14,,,OK,4121478,363225,,N,N,N,N,
169,21-May-16,20160521,21:20,22:26,"ADS, MRL",HW,,,16.8,15.4,94.8,0,6.4,55,,B; FTown Loop,B,Plot,3,SS-21-MAY-2016-01,11,N,49.6,#310/8,,N,,L.L.,N,DY,Y,F,ID-982000406562584,9.82E+14,,,OK,4121488,363210,PERI,Y,Y,N,N,
226,6-Jul-16,20160706,22:00,1:00,"KN, ADS","HM, JF",,,24.8,24.2,100,0,6.2,49,Light,B; FTown Loop,B,Plot,5,SS-06-JUL-2016-01,4,R,49.9,,,N,,L.L.,N,GY,Y,F,ID-982000406562696,9.82E+14,,,OK,4121482,363217,,N,N,Y,N,
75,21-Jul-16,20160721,21:09,23:00,"ADS, JF, FW","HM, ADS",,,25.8,25.3,85.7,0,6.1,53,No,A; Etour,A,Plot,6,SS-21-JUL-2016-01,3,R,50.2,,,N,,L.L.,N,Y,Y,F,ID-900118001079824,9.00E+14,,,OK,4118984,367358,,N,N,N,N,
407,11-Jun-16,20160611,23:09,,"KN, JF",ADS,,,25.9,26.4,78.3,,5.8,50,No,C; Gooseley,C,Plot,4,SS-11-JUN-2016-01,8,N,51,,Peed,N,,L.L.,N,Y,Y,F,ID-982000406562556,9.82E+14,,,OK,4120506,365732,,N,N,N,N,
126,25-Apr-16,20160425,20:40,23:15,"ADS, AO",AO,,,,,,,6.2,45,No,B; FTown Loop,B,Plot,1,SS-25-APR-16-01,14,N,51.4,,17,N,,L.L.,N,DY,Y,F,ID-982000406255200,9.82E+14,,,OK,-,-,,N,N,N,N,
441,21-Jul-16,20160721,23:19,1:05,"ADS, JF, FW","HM, ADS",,,23.9,22.6,93,0,6.2,50,No,C; Gooseley,C,Plot,6,SS-21-JUL-2016-02,15,R,51.5,,,N,,L.L.,N,DY,Y,F,ID-982000406255148,9.82E+14,,,OK,4120498,365725,Above ground after survey,N,N,N,N,
377,25-Apr-16,20160425,23:50,1:15,"ADS, AO",AO,,,,17.9,,0.8,5.6,45,No,C; Gooseley,C,Plot,1,SS-25-APR-2016-02,11,N,51.6,#96/5,13,N,,L.L.,N,GY,Y,F,ID-982000406255148,9.82E+14,,,OK,4120511,365729,,N,N,N,N,
47,9-Jun-16,20160609,21:30,,"KN, JF",ADS,,,20.9,20.6,81,0,6,45,No,A; Etour,A,Plot,4,SS-09-Jun-2016-01,24,N,51.8,#471/5,,N,,L.L.,N,Y,Y,F,ID-900118001079824,9.00E+14,,,OK,4118982,367387,,N,N,N,N,
203,24-Jun-16,20160624,21:25,,"KN, JF",ADS,,,25.2,,92.3,,6,53,No,B; FTown Loop,B,Plot,4,SS-24-JUN-2016-01,18,N,52.1,,,Y,,L.L.,N,DY,Y,F,ID-900118001076846,9.00E+14,,,OK,4121479,363228,,N,N,N,N,
421,5-Jul-16,20160705,23:42,,"KN, ADS","HM, ADS",,,25.7,25,98.5,0,6.1,55,No,C; Gooseley,C,Plot,5,SS-05-JUL-2016-02,9,R,52.5,,,N,,L.L.,N,DY,Y,F,ID-982000406562556,9.82E+14,,,OK,4120502,365724,,N,N,N,N,
52,3-Jul-16,20160703,21:45,23:57,"ADS, JF",KN,,,21.5,22.1,90.4,0,6.4,60,No,A; Etour,A,Plot,5,SS-03-JUL-2016-01,2,N,52.7,,,Y,,L.L.,N,DY,Y,F,ID-982000406563250,9.82E+14,,,OK,4118982,367367,,N,N,N,N,
246,6-Jul-16,20160706,22:00,1:00,"KN, ADS","HM, JF",,,24.8,24.2,100,0,6.2,49,Light,B; FTown Loop,B,Plot,5,SS-06-JUL-2016-01,24,R,54.2,,,N,,L.L.,N,DY,Y,F,ID-982000406255200,9.82E+14,,,OK,4121479,363226,,N,N,N,N,
461,13-May-16,20160513,22:30,0:50,"ADS, MRL",?,,,18.9,16.5,95.3,0,5.1,80,No,E; FT1,E,Plot,2,SS-13-MAY-2016-01,1,N,54.2,#355/5,17.1,N,,L.L.,N,Y,Y,F,ID-982000406562713,9.82E+14,,,OK,4118376,365795,PERI; Peed,Y,Y,N,N,
12,26-Apr-16,20160426,22:31,12:00,"AO, ADS","AO, ADS",,,,18.8,,,5.6,55,No,A; Etour,A,Plot,1,SS-26-APR-2016-02,12,N,55,#105/5,17,N,,L.L.,N,GY,Y,F,ID-982000406562673,9.82E+14,,,OK,4118979,367368,,N,N,N,N,
55,3-Jul-16,20160703,21:45,23:57,"ADS, JF",KN,,,21.5,22.1,90.4,0,6.4,60,No,A; Etour,A,Plot,5,SS-03-JUL-2016-01,5,N,56.1,,,Y,,L.L.,N,DY,Y,F,ID-982000406563306,9.82E+14,,,OK,4118998,367377,,N,Y,N,N,
122,25-Apr-16,20160425,20:40,23:15,"ADS, AO",AO,,,,,,,6.2,45,No,B; FTown Loop,B,Plot,1,SS-25-APR-16-01,10,N,56.3,,19.2,N,,L.L.,N,Y,Y,F,ID-982000406255182,9.82E+14,,,OK,-,-,,N,N,N,N,
223,6-Jul-16,20160706,22:00,1:00,"KN, ADS","HM, JF",,,24.8,24.2,100,0,6.2,49,Light,B; FTown Loop,B,Plot,5,SS-06-JUL-2016-01,1,R,58,,,N,,L.L.,N,Y,Y,F,ID-982000406255182,9.82E+14,,,OK,4121487,363212,,N,N,N,N,
59,3-Jul-16,20160703,21:45,23:57,"ADS, JF",KN,,,21.5,22.1,90.4,0,6.4,60,No,A; Etour,A,Plot,5,SS-03-JUL-2016-01,9,R,59.3,,,N,,L.L.,N,Y,Y,F,ID-900118001079012,9.00E+14,,,OK,4118971,367369,PERI,Y,N,Y,N,
379,8-May-16,20160508,21:45,23:00,"ADS, MRL",?,,,15.1,13.6,86.2,0,6.3,60,No,C; Gooseley,C,Plot,2,SS-08-MAY-2016-01,2,R,,,,,,,,GY,Y,F,ID-982000406255148,9.82E+14,,,OK,4120502,365738,,N,N,N,N,
483,2-Jun-16,20160602,22:00,0:15,"ADS, MRL","KN, ADS",,,23.1,22.2,94.4,0,5.3,60,No,E; FT1,E,Plot,3,SS-02-JUN-2016-01,7,R,,#439/8,,N,,L.L.,N,DY,Y,F,ID-982000406562878,9.82E+14,,,OK,4118387,365794,,N,N,N,N,
387,8-May-16,20160508,21:45,23:00,"ADS, MRL",?,,,15.1,13.6,86.2,0,6.3,60,No,C; Gooseley,C,Plot,2,SS-08-MAY-2016-01,10,N,44,,10.5,N,,L.L.,Y,Y,N,M,ID-982000406562649,9.82E+14,,,OK,4120502,365738,Peed,N,N,N,N,
391,8-May-16,20160508,21:45,23:00,"ADS, MRL",?,,,15.1,13.6,86.2,0,6.3,60,No,C; Gooseley,C,Plot,2,SS-08-MAY-2016-01,14,N,44,,9.4,N,,L.L.,Y,Y,N,M,ID-982000406562682,9.82E+14,,,OK,4120503,365736,PERI; Peed,Y,Y,N,N,
469,13-May-16,20160513,22:30,0:50,"ADS, MRL",?,,,18.9,16.5,95.3,0,5.1,80,No,E; FT1,E,Plot,2,SS-13-MAY-2016-01,9,N,44.3,#357/5,9.8,N,,L.L.,Y,DY,N,M,ID-982000406562575,9.82E+14,,,OK,4118393,365791,Peed,N,N,N,N,
477,2-Jun-16,20160602,22:00,0:15,"ADS, MRL","KN, ADS",,,23.1,22.2,94.4,0,5.3,60,No,E; FT1,E,Plot,3,SS-02-JUN-2016-01,1,N,44.4,#438/8,,N,,L.L.,Y,DY,N,M,ID-982000406562889,9.82E+14,,,OK,4118392,365798,,N,Y,N,N,
41,9-Jun-16,20160609,21:30,,"KN, JF",ADS,,,20.9,20.6,81,0,6,45,No,A; Etour,A,Plot,4,SS-09-Jun-2016-01,18,R,44.6,#466/5,,N,,L.L.,Y,DY,N,M,ID-982000406562786,9.82E+14,,,OK,4118977,367368,,N,N,Y,N,
472,13-May-16,20160513,22:30,0:50,"ADS, MRL",?,,,18.9,16.5,95.3,0,5.1,80,No,E; FT1,E,Plot,2,SS-13-MAY-2016-01,12,R,44.9,#356/5,,N,,L.L.,Y,DY,N,M,ID-982000406562708,9.82E+14,,,OK,4118387,365792,Peed,N,N,Y,N,
2,26-Apr-16,20160426,22:31,12:00,"AO, ADS","AO, ADS",,,,18.8,,,5.6,55,No,A; Etour,A,Plot,1,SS-26-APR-2016-02,2,N,45.3,#110/5,12.2,N,,L.L.,Y,Y,N,M,ID-982000406562704,9.82E+14,,,OK,4118980,367395,PERI,Y,Y,N,N,
33,9-Jun-16,20160609,21:30,,"KN, JF",ADS,,,20.9,20.6,81,0,6,45,No,A; Etour,A,Plot,4,SS-09-Jun-2016-01,10,N,45.3,#463/5,,N,,L.L.,Y,Y,N,M,ID-982000406562538,9.82E+14,,,OK,4118973,367379,,N,N,N,N,
