Index,Method,Sheet_ID,Date,Date_survey_started,Start Time,End Time,Start GPS Name,End GPS Name,Start Y,Start X,Start Temp (c),,End Y,End X,End Temp (c),Observers,Scribe,Survey,Number,No,Time,Species,Y,Y_old,X,X_old,SVL_mm,Color,Nuptial_Pads,gravid,STAGE,Use_for_size,Mass,Disposition,Microhabitat,Habitat_type,Burrow(Y/N),Burrow_Depth,GPS Waypoint,COMMENTS,Time to process,Toads Missed,QC
1476,RoadVES,SCTR-16-MAY-2017-02,16-May-17,16-May-17,2105,,,,,,,,,,,RH/ADS,ADS/RH,3,,56,2316,SCHO,4119740,,364547,,43.8,DY,N,N,SNBA,,,,,,Y,15.3,,,,,
219,RoadVES,SCTR-18-Apr-2016-01,4/19/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,219,83,25,SCHO,4121477,,363731,,38.7,G,N,DC,U,,-,A,in burrow,forest,Y,40.3,point 264,,,,
308,RoadVES,SCTR-18-Apr-2016-01,4/19/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,308,172,218,SCHO,4121479,,363056,,35.5,Y,N,DC,U,,-,A,in burrow,Forest,Y,41.4,Pt 330,,,,
256,RoadVES,SCTR-18-Apr-2016-01,4/19/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,256,120,105,SCHO,4121502,,363590,,31.2,G,N,DC,U,,-,A,in front of burrow,forest,Y,43.4,point 288,,,,
201,RoadVES,SCTR-18-Apr-2016-01,4/19/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,201,65,6,SCHO,4121458,,363762,,46.2,G,N,DC,U,,-,A,in burrow,forest,Y,44,point 252,,,,
1944,RoadVES,SCTR-19-may-2017-01,19-May-17,19-May-17,2110,,,,,,21.8,97.2,,,,"ADS, HM",RH,6,,4,2112,SCHO,4119062,,367084,,46.2,DY,N,Y,F,,,,,,Y,44.6,1084,,,,
947,RoadVES,SCTR-20-JUL-2016-01,20-Jul-16,20-Jul-16,-,-,-,-,4119769,364520,-,,412000,364110,-,,,10,947,2,-,SCHO,4119826,,364403,,54.8,Y,Y,N,M,,-,OK,Grass,-,Y,45,-,,,,
2106,RoadVES,SCTR-19-may-2017-01,19-May-17,19-May-17,2110,,,,,,21.8,97.2,,,,"ADS, HM",RH,6,,167,2303,SCHO,4119334,,367621,,39.3,GY,N,N,SNBA,,,,,,Y,45.7,1162,,,,
309,RoadVES,SCTR-18-Apr-2016-01,4/19/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,309,173,219,SCHO,4121483,,363074,,33.1,G,N,DC,U,,-,A,entrance to burrow,Forest,Y,46.3,Pt 329,,,,
233,RoadVES,SCTR-18-Apr-2016-01,4/19/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,233,97,30,SCHO,4121480,,363719,,37,Y,N,DC,U,,-,A,in burrow,forest,Y,48,point 268,,,,
178,RoadVES,SCTR-18-Apr-2016-01,4/18/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,178,42,2334,SCHO,4121260,,363716,,40.2,G,N,DC,U,,-,A,in burrow,forest,Y,48,point 232,,,,
623,RoadVES,SCTR-09-MAY-2016-01,9-May-16,9-May-16,2145,,,,4118457,364943,,,,,,"ADS, MRL, scribe BN",,3,623,65,2313,SCHO,4118432,,364619,,47.4,Y,Y,N,M,,11.3,A,L.L.,-,Y,49.6,-,,,,
1869,RoadVES,SCTR-18-MAY-2017-03,18-May-17,18-May-17,,,,,,,,,,,,ADS,NEK,5,,7,2129,SCHO,4119335,,364602,,48.8,GY,N,Y,F,,,,,,Y,50,,,,,
152,RoadVES,SCTR-18-Apr-2016-01,4/18/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,152,16,2223,SCHO,4121108,,363070,,37.4,G,N,DC,U,,-,A,"leaf litter, half in burrow",forest,Y,50,point 207,,,,
1538,RoadVES,SCTR-16-May-2017-04,16-May-17,16-May-17,,,,,,,19.5,76.6,,,,HM,NK,3,,16,2203,SCHO,4119866,,364295,,39.5,GY,N,N,SNBA,,,,,,Y,50.9,828,,,,
1946,RoadVES,SCTR-19-may-2017-01,19-May-17,19-May-17,2110,,,,,,21.8,97.2,,,,"ADS, HM",RH,6,,6,2115,SCHO,4119045,,367131,,52.1,DY,N,Y,F,,,,,,Y,51.6,1086,,,,
158,RoadVES,SCTR-18-Apr-2016-01,4/18/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,158,22,2241,SCHO,4121035,,363297,,42,G,N,DC,U,,-,A,in burrow,forest,Y,51.6,point 213,,,,
668,RoadVES,SCTR-09-MAY-2016-01,10-May-16,9-May-16,2145,,,,4118457,364943,,,,,,"ADS, MRL, scribe BN",,3,668,110,4,SCHO,4118455,,364501,,47.7,GY,N,Y,F,,15.9,A,L.L.,-,Y,52,-,,,,
1797,RoadVES,SCTR-18-May-2017-01,18-May-17,18-May-17,2056,,,,,,26.6,66.5,,,,HM,RH,5,,24,2204,SCHO,4119091,,364456,,44,Y,Y,N,M,,,,,,Y,53.1,1016,,,,
1768,RoadVES,SCTR-17-MAY-2017-03,18-May-17,17-May-17,2125,,,,,,28.7,,,,,HM/NK,NK,4,,91,108,SCHO,4118410,,366050,,47.1,DY,N,Y,F,,,,,,Y,53.6,987,,,,
184,RoadVES,SCTR-18-Apr-2016-01,4/18/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,184,48,2343,SCHO,4121261,,363730,,49.5,Y,N,DC,U,,-,A,"moss, in burrow",forest,Y,54,point 235,,,,
251,RoadVES,SCTR-18-Apr-2016-01,4/19/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,251,115,57,SCHO,4121529,,363642,,40.8,G,N,DC,U,,-,A,next to burrow,forest,Y,54.1,point 282,,,,
242,RoadVES,SCTR-18-Apr-2016-01,4/19/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,242,106,48,SCHO,4121501,,363669,,48.4,Y,N,DC,U,,-,A,in burrow,forest,Y,56.7,point 278,,,,
305,RoadVES,SCTR-18-Apr-2016-01,4/19/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,305,169,209,SCHO,4121614,,363036,,56.1,Y,Y,DC,M,,-,A,halfway in burrow,Field,Y,56.9,Pt 326,,,,
2132,RoadVES,SCTR-19-may-2017-01,19-May-17,19-May-17,2110,,,,,,21.8,97.2,,,,"ADS, HM",RH,6,,194,2325,SCHO,4119500,,367625,,51.6,Y,Y,N,M,,,,,,Y,57.2,1176,,,,
307,RoadVES,SCTR-18-Apr-2016-01,4/19/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,307,171,215,SCHO,4121525,,363066,,47.7,Y,N,DC,U,,-,A,entrance to burrow,Forest,Y,58.9,Pt 328,,,,
1735,RoadVES,SCTR-17-MAY-2017-03,17-May-17,17-May-17,2125,,,,,,28.7,,,,,HM/NK,NK,4,,58,2345,SCHO,4118404,,366311,,48.1,Y,Y,N,M,,,,,,Y,59.2,951,,,,
2228,RoadVES,SCTR-19-MAY-2017-06,20-May-17,19-May-17,,,,,,,,,,,,,,6,,290,103,SCHO,4120676,,363738,,58.3,Y,Y,N,M,,,,,,YES,59.6,1216,,,,
166,RoadVES,SCTR-18-Apr-2016-01,4/18/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,166,30,2305,SCHO,4121024,,363583,,36.2,G,N,DC,U,,-,A,"leaf litter, next to burrow",forest,Y,61,point 221,,,,
264,RoadVES,SCTR-18-Apr-2016-01,4/19/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,264,128,113,SCHO,4121509,,363565,,40.9,Y,N,DC,U,,-,A,next to burrow,forest,Y,66.4,point 296,,,,
