Index ,Date,Date_num,Start_time,End_time,Observers,Scribe,X-coord,Y-coord,Ground_Temp (C),Ambient_Temp (C),RH (%),Wind,Rain,Plot_ID,Survey_Type,Survey_Number,Sheet_ID,Missed Toads,Fooled by Spider Eyeshine,No.,Recap,SVL(mm),GPS_Waypoint,Mass,Mass/SVL ratio,Burrow(Y/N),Burrow_depth,Microhabitat,Pads,Color,Eggs,STAGE,Unique_ID,FINAL_Pittag_toeclip,Plot_ID,PIT-tag_Toeclip,,Body Condition,Ycoord,Xcoord,Comments,Head_Width,Incidental(remove_from_survey),Matured during survey
338,13-Jun-17,20170613,2108,2238,"HM, JL",LC,,,,22.9,86.6,,No,T3,Transect,2,TR-13-JUN-2017-01,0,,9,R,49.8,1323,Peed,,Y; two entrances,25.2,,N,DY,Y,F,ID-982000406563100,9.82E+14,T3,,,OK,4121185,363825,,,,N
618,12-Jun-17,20170612,2055,46,"HM, JL",LC,,,,22.9,28.5,,No,T9,Transect,2,TR-12-JUN-2017-01,,,24,N,50.4,1283,24.1,0.478174603,Y,30,,Y,Y,N,M,ID-900118001080032,9.00E+14,T9,,,OK,4117892,365077,,21.8,,N
361,18-Jun-17,20170618,2110,2251,"HM, LC",JL,,,,28.9,100  check NOAA,,no,T3,Transect,3,TR-18-JUN-2017-01,,,11,N,49.8,1467,pee,,Y,36.9,,Y,Y,N,M,ID-982000406563070,9.82E+14,T3,,,Okay,4121231,363847,,18.5,,N
487,19-Jun-16,20160619,22:05,0:45,"ADS, JF",KN,,,22,20.6,84,0,No,T9,Transect,3,TRAN-19-JUN-2016-01,16,,33,N,39.7,,8.3,0.20906801,Y,39,L.L.,N,DY,N,SNBA,ID-982000406563213,9.82E+14,T9,,,OK,4117886,365120,,,,N
150,23-Jul-16,20160723,22:05,23:50,"HM, ADS",JF,,,25.7,26.8,95.5,0,No,T0,Transect,6,TRAN-23-JUL-2016-01,2,,13,R,38.6,,5.5,0.142487047,Y,40,L.L.,N,G,N,SNBA,ID-982000406563174,9.82E+14,T0,9.82E+14,,OK,4121429,363141,,,,N
730,12-Jun-16,20160612,21:50,22:19,"KN, ADS",JF,,,27.2,25.2,55.6,1.8,No,T14,Transect,3,TRAN-12-JUN-2016-01,,,2,N,52.6,#475/5,13.8,0.262357414,Y,40,L.L.,Y,Y,N,M,ID-900118001079366,9.00E+14,T14,9366,,OK,4119731,365074,,,,N
729,12-Jun-16,20160612,21:50,22:19,"KN, ADS",JF,,,27.2,25.2,55.6,1.8,No,T14,Transect,3,TRAN-12-JUN-2016-01,,,1,N,53.5,#474/5,18,0.336448598,Y,40,L.L.,Y,Y,N,M,ID-900118001079524,9.00E+14,T14,9524,,OK,4119721,365062,,,,N
1233,16-Jun-17,20170616,2100,156,"HM, JL",LC,,,,23.1,98.7,,,T18,Transect,3,TR-16-Jun-2017-01,5,,2,N,43.3,1358,12.4,0.286374134,Y,42.9,,N,DY,Y,F,ID-900118001081347,9.00E+14,T18,,,okay,4118902,367236,,17.5,,N
527,27-Jun-16,20160627,21:36,23:37,"ADS, JF",KN,,,24.5,24.4,90.3,0,No,T9,Transect,4,TRAN-27-JUN-2016-01,10,,21,N,46.4,,10.8,0.232758621,Y,43,L.L.,N,DY,Y,F,ID-900118001078202,9.00E+14,T9,,,OK,4117915,365063,,,,N
838,22-Jun-16,20160622,21:45,23:15,"ADS, JF",KN,,,24,24.5,80.7,,No,T15,Transect,4,TRAN-22-JUN-2016-01,2,,3,N,37.1,,6.2,0.167115903,Y,43.1,L.L.,N,DY,N,SNBA,ID-982000406563289,9.82E+14,T15,,,OK,4119854,365890,,,,N
382,28-Apr-16,20160428,21:34,23:05,"ADS, SB",SB,,,,,,,,T9,Transect,1; stopped at 90m,TRAN-28-APR-2016-01,,,11,N,34.6,#073/8,6,0.173410405,Y,45.7,L.L.,N,G,N,SNBA,ID-982000406562712,9.82E+14,T9,,,OK,4117911,365061,,,,N
525,27-Jun-16,20160627,21:36,23:37,"ADS, JF",KN,,,24.5,24.4,90.3,0,No,T9,Transect,4,TRAN-27-JUN-2016-01,10,,19,N,44.2,,9.9,0.2239819,Y,45.7,L.L.,N,DY,N,SNBA,ID-982000406563223,9.82E+14,T9,,,OK,4117908,365069,,,,N
606,12-Jun-17,20170612,2055,46,"HM, JL",LC,,,,22.9,28.5,,No,T9,Transect,2,TR-12-JUN-2017-01,,,12,N,40.8,1271,Peed,,Y,46,,N,GY,N,SNBA,ID-982000407040814,9.82E+14,T9,,,OK,4117900,365037,,16.7,,N
447,8-Jun-16,20160608,21:30,22:40,"ADS, JF",KN,,,20.4,20.6,64.7,,No,T9,Transect,2,TRAN-08-JUN-2016-01,2,,10,N,45.9,#485,8.9,0.193899782,Y,47,L.L.,N,GY,N,SNBA,ID-982000406562525,9.82E+14,T9,,,OK,4117935,365101,,,,N
600,12-Jun-17,20170612,2055,46,"HM, JL",LC,,,,22.9,28.5,,No,T9,Transect,2,TR-12-JUN-2017-01,,,6,N,48.3,1265,Peed,,Y,48.8,,Y,Y,N,M,ID-900118001078588,9.00E+14,T9,,,OK,4117915,365026,,19.8,,N
