"","Method","Index","Date","Loc","SVL","Mass","Microhabitat","Pads","Color","Eggs","Recap","PIT_ID","Stage","Underground","tran2017","newindex"
"1","INCIDENTAL",257,"13-Jun-15","","50","13.75","leaf litter","N","","Y","","","F","","NO",1
"2","INCIDENTAL",260,"13-Jun-15","",NA,NA,"tree root mound","N","","Y","","","F","","NO",2
"3","INCIDENTAL",264,"14-Jun-15","","66","26","soil","","","N","","","F","","NO",3
"4","INCIDENTAL",265,"14-Jun-15","",NA,NA,"leaf litter","","","N","","","F","","NO",4
"5","INCIDENTAL",392,"30-Jul-15","",NA,NA,"Leaf litter","","","","","","F","","NO",5
"6","ROAD CRUISE",229,"3-Jun-15","Yorktown Tour Roads",NA,NA,"Road","N","","Y","","","F","","NO",6
"7","ROAD CRUISE",277,"10-Aug-15","Yorktown Tour Roads",NA,NA,"Leaf Litter","","","","","","F","","NO",7
"8","ROAD CRUISE",80,"15-Jul-16","Yorktown Tour Roads",NA,NA,"Road","N","","Y","","","F","","NO",8
"9","ROAD CRUISE",81,"15-Jul-16","Yorktown Tour Roads",NA,NA,"Road","N","","Y","","","F","","NO",9
"10","ROAD CRUISE",83,"16-Jul-16","Yorktown Tour Roads",NA,NA,"Grass","N","","Y","","","F","","NO",10
"11","ROAD CRUISE",84,"16-Jul-16","Yorktown Tour Roads",NA,NA,"Field","","","","","","F","","NO",11
"12","ROAD CRUISE",86,"16-Jul-16","Yorktown Tour Roads",NA,NA,"Field","","","","","","F","","NO",12
"13","TERRESTRIAL VES",249,"17-Jun-15","YT Fire trail 2",NA,NA,"In burrow","","","","","","F","","NO",13
"14","TERRESTRIAL VES",257,"17-Jun-15","YT Fire trail 2",NA,NA,"1/2 burrow","","","","","","F","","NO",14
"15","INCIDENTAL",207,"20-Sep-16","",NA,NA,"Road","","","Y","","","F","","NO",15
"16","INCIDENTAL",103,"11-Apr-16","",NA,NA,"grass","Y","Y","N","","","M","","NO",16
"17","INCIDENTAL",113,"21-Apr-16","","49.8",NA,"grass, in burrow","Y","Y","N","","","M","","NO",17
"18","INCIDENTAL",121,"21-Apr-16","","54.5",NA,"grass","Y","Y","N","","","M","","NO",18
"19","INCIDENTAL",164,"30-May-16","",NA,NA,"pond","","","","","","M","","NO",19
"20","INCIDENTAL",182,"24-Jul-16","","58.3",NA,"field","Y","","N","","","M","","NO",20
"21","INCIDENTAL",206,"20-Sep-16","",NA,NA,"Road","","","","","","M","","NO",21
"22","INCIDENTAL",210,"20-Sep-16","",NA,NA,"Road","","","","","","M","","NO",22
"23","ROAD CRUISE",230,"3-Jun-15","Yorktown Tour Roads",NA,NA,"Leaf litter","","","","","","M","","NO",23
"24","ROAD CRUISE",35,"3-May-16","Yorktown Tour Roads",NA,NA,"flooded field","","","","","","M","","NO",24
"25","ROAD CRUISE",63,"3-Jun-16","Yorktown Tour Roads",NA,NA,"Road","","","","","","M","","NO",25
"26","ROAD CRUISE",79,"3-Jun-16","Yorktown Tour Roads",NA,NA,"Road","","","","","","M","","NO",26
"27","ROAD CRUISE",82,"16-Jul-16","Yorktown Tour Roads",NA,NA,"Road","Y","","N","","","M","","NO",27
"28","ROAD CRUISE",85,"16-Jul-16","Yorktown Tour Roads",NA,NA,"Field","","","","","","M","","NO",28
"29","TERRESTRIAL VES",231,"13-Jun-15","Fire Trail 1","55","18.25","Leaf litter","","","","","","M","","NO",29
"30","TERRESTRIAL VES",252,"17-Jun-15","YT Fire trail 2",NA,NA,"Leaf litter","","","","","","M","","NO",30
"31","TERRESTRIAL VES",261,"17-Jun-15","YT Fire trail 2",NA,NA,"Leaf litter","","","","","","M","","NO",31
"32","TERRESTRIAL VES",314,"30-Jul-15","CV 24 Cul-de-sac",NA,NA,"Leaf litter","","","","","","M","","NO",32
"33","INCIDENTAL",258,"13-Jun-15","","39","4.85","leaf litter","","","","","","SNBA","","NO",33
"34","INCIDENTAL",393,"30-Jul-15","",NA,NA,"Leaf litter","","","","","","SNBA","","NO",34
"35","INCIDENTAL",394,"30-Jul-15","",NA,NA,"Leaf litter","","","","","","SNBA","","NO",35
"36","INCIDENTAL",395,"30-Jul-15","",NA,NA,"Leaf litter","","","","","","SNBA","","NO",36
