"Survey_type","Index","Remove","Date","Temp_C","X","Y","Plot_ID","Recap","SVL_mm","Mass_g","Pads","Eggs","Animal_ID","Body_condition","Matured_during_study","Stage","capture"
"Plot",35,"",20160609,20.9,"367363","4118974","A","N",54.8,"","N","N","ID-900118001079012","OK","Y","SNBA","1"
"Plot",59,"",20160703,21.5,"367369","4118971","A","R",59.3,"","N","Y","ID-900118001079012","OK","Y","F","2"
"Plot",118,"",20160425,NA,"-","-","B","N",46.5,"9.6","N","N","ID-982000406255129","OK","Y","SNBA","1"
"Plot",210,"",20160624,25.2,"363215","4121487","B","R",49.5,"","Y","N","ID-982000406255129","OK","Y","M","2"
"Transect",387,"",20160428,NA,"365113","4117916","T9","N",43.1,"7.1","N","N","ID-982000406562638","OK","Y","SNBA","1"
"Transect",642,"",20170612,NA,"365122","4117910","T9","R",50.2,"14.1","N","Y","ID-982000406562638","OK","Y","F","2"
"Plot",473,"",20160513,18.9,"365793","4118398","E","R",43.4,"","N","N","ID-982000406562660","OK","Y","SNBA","1"
"Plot",480,"",20160602,23.1,"365797","4118401","E","R",NA,"","Y","N","ID-982000406562660","OK","Y","M","2"
"Plot",136,"",20160507,13.8,"363225","4121475","B","N",48.8,"12.2","N","N","ID-982000406562696","OK","Y","SNBA","1"
"Plot",226,"",20160706,24.8,"363217","4121482","B","R",49.9,"","N","Y","ID-982000406562696","OK","Y","F","2"
"Plot",459,"",20160427,NA,"365789","4118379","E","N",45.9,"8","N","N","ID-982000406562708","OK","Y","SNBA","1"
"Plot",472,"",20160513,18.9,"365792","4118387","E","R",44.9,"","Y","N","ID-982000406562708","OK","Y","M","2"
"Plot",21,"",20160522,15,"367371","4118978","A","N",44.5,"","N","N","ID-982000406562786","OK","Y","SNBA","1"
"Plot",41,"",20160609,20.9,"367368","4118977","A","R",44.6,"","Y","N","ID-982000406562786","OK","Y","M","2"
"Plot",416,"",20160705,25.7,"365735","4120480","C","N",47.1,"","N","N","ID-982000406563163","OK","Y","SNBA","1"
"Plot",431,"",20160721,23.9,"365718","4120470","C","R",45.5,"","N","Y","ID-982000406563163","OK","Y","F","2"
"Transect",1225,"",20170701,NA,"367256","4118911","T18","R",51,"13","N","N","ID-900118001079102","okay","Y","SNBA","1"
